review_id,product_name,star_rating,review_title,review_body,verified_purchase,date,helpful_votes
1,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Got rid of lice completely!,"Used this shampoo for just one week and ALL the lice and nits were completely gone. The tea tree oil fragrance is amazing and my scalp feels so clean and fresh after every wash. Absolutely no itching anymore.",YES,2024-03-01,45
2,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,1,Bottle leaked all over my bag,"The bottle cap cracked open during delivery and the entire shampoo leaked inside the delivery bag. Complete waste of money. The seal quality is terrible. I had to order from somewhere else.",YES,2024-03-02,38
3,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Smells like a luxury spa,"The fragrance is absolutely divine — fresh tea tree with a hint of mint. Leaves my hair smelling amazing for hours after the wash. My family keeps asking what shampoo I use. Highly recommended!",YES,2024-03-03,29
4,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,2,Does not lather in hard water,"I live in an area with hard water and this shampoo barely produces any lather at all. I have to use double the amount just to get a basic wash done. Very disappointing for the price.",YES,2024-03-04,22
5,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,4,Scalp feels clean and itch-free,"After the very first wash my scalp felt much cleaner and the constant itching reduced dramatically. The anti-lice formula seems to work well. Took about 4-5 uses to see full results but worth it.",YES,2024-03-05,18
6,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,1,Received dented bottle with broken seal,"The bottle arrived completely dented with a cracked seal. The shampoo had already started leaking when I opened the package. Flipkart packaging needs serious improvement. Raised a return request.",YES,2024-03-06,33
7,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Best shampoo for lice treatment!,"My daughter had severe lice infestation and this shampoo cleared it up completely within 10 days. No harsh chemicals, smells great, and her hair is so soft now. Will definitely buy again.",YES,2024-03-07,52
8,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,3,Hair ends feel rough after continued use,"The first few washes were great but after 2 weeks of daily use my hair ends started feeling rough and tangled. The scalp benefit is real but it seems to strip moisture from the hair lengths.",YES,2024-03-08,15
9,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Sulfate-free and safe for color-treated hair,"Finally a shampoo that is sulfate-free and safe for my color-treated hair. The color has not faded at all after 3 weeks. The lather is gentle and the fragrance is natural. Love it!",YES,2024-03-09,24
10,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,2,Needed two full bottles to see results,"I had to use almost two full bottles before seeing any noticeable improvement in lice. The instructions say one bottle should be sufficient but that was not my experience. Misleading product description.",YES,2024-03-10,19
11,Botanical Luxuriate Tea Tree Shampoo Anti-Lice,5,Very affordable and works exactly as described,"For the price this shampoo is incredible value. It does exactly what it says — anti-lice formula with tea tree oil and it smells wonderful. No artificial chemicals. My go-to shampoo now.",YES,2024-03-11,41
