review_id,product_name,star_rating,review_title,review_body,verified_purchase,date,helpful_votes
1,Apple iPhone 16 128GB Black,5,Camera is absolutely stunning,"The camera quality on the iPhone 16 is just breathtaking. Photos look professional straight out of the camera app. Portrait mode is flawless and night mode is miles ahead of the previous generation. Best smartphone camera I have ever used.",YES,2024-11-01,128
2,Apple iPhone 16 128GB Black,1,Phone gets dangerously hot during charging,"This phone becomes scorching hot within 15 minutes of charging especially when used simultaneously. It is not just warm — it is burning hot to the touch. I had to stop using it while charging for safety. This is a serious defect.",YES,2024-11-02,215
3,Apple iPhone 16 128GB Black,5,A18 chip is absolutely insanely fast,"There is zero lag on this device. Every app opens instantly, games run at maximum settings with no frame drops, and multitasking is butter smooth. The A18 chip is in a class of its own. Huawei and Samsung cannot compete.",YES,2024-11-03,98
4,Apple iPhone 16 128GB Black,1,Battery drains 12 percent per hour on 5G,"The battery drain on 5G is completely unacceptable for a flagship device. I lose 12 percent battery per hour just browsing on 5G with screen at medium brightness. My iPhone 15 was significantly better. Apple needs to push a fix urgently.",YES,2024-11-04,187
5,Apple iPhone 16 128GB Black,5,Display is absolutely gorgeous — Super Retina XDR lives up to the name,"The Super Retina XDR display is simply beautiful. Colors are perfectly calibrated, blacks are deep, and sunlight legibility is excellent. Watching HDR content on this screen is a cinema-like experience. Stunning.",YES,2024-11-05,76
6,Apple iPhone 16 128GB Black,2,Scratches appeared on frame within one week,"I keep my phone in a case but small scratches appeared on the aluminum frame around the camera module within just one week. The black anodization chips off easily. For 79000 rupees I expect better material durability.",YES,2024-11-06,93
7,Apple iPhone 16 128GB Black,5,iOS 18 is the best mobile software experience,"iOS 18 running on the A18 chip is absolutely fluid and intuitive. The new customisation options and AI features are genuinely useful. No bloatware no lags and battery management in airplane mode is excellent. Apple software still the gold standard.",YES,2024-11-07,64
8,Apple iPhone 16 128GB Black,2,Way overpriced compared to Android flagships,"For 79999 rupees the Samsung S24 Ultra offers foldable display, S-Pen, 200MP camera, and far better battery life. Apple is charging a premium purely for the brand name and iOS ecosystem. Camera is great but not 80k great.",YES,2024-11-08,145
9,Apple iPhone 16 128GB Black,5,Night mode photography is rival DSLR quality,"I shot some low light photographs at a evening event and they looked indistinguishable from DSLR photos. The computational photography on the iPhone 16 is genuinely world class. My Canon camera is feeling jealous.",YES,2024-11-09,112
10,Apple iPhone 16 128GB Black,3,My unit runs warm but not dangerously hot,"My unit does get warm during charging and gaming but it has not reached the extreme temperatures others report. Probably a batch variance issue. Performance and camera are excellent though. Comfortable with the warmth so far.",YES,2024-11-10,43
11,Apple iPhone 16 128GB Black,5,Fits perfectly in hand — premium build and feel,"The weight distribution is perfect and it sits beautifully in the hand. The matte black finish on the back glass is elegant and fingerprint resistant. Feels significantly more premium than any Android I have held.",YES,2024-11-11,57
12,Apple iPhone 16 128GB Black,1,Cannot sideload apps — Apple walled garden is too restrictive,"I switched from Android specifically to use certain apps that Apple does not allow on the App Store. The EU has forced Apple to allow sideloading but Indian users get no such freedom. This is anticompetitive and deeply frustrating.",YES,2024-11-12,98
13,Apple iPhone 16 128GB Black,4,Lasts a full work day with moderate use,"With moderate use including calls emails and social media the iPhone 16 comfortably lasts from 7am to 11pm. Turning off 5G when not needed helps significantly. Not the best battery but adequate for a working professional.",YES,2024-11-13,38
14,Apple iPhone 16 128GB Black,5,Worth every rupee for the camera and ecosystem,"I am deeply embedded in the Apple ecosystem — MacBook iPad AirPods and now iPhone 16. The seamless integration between all devices is something Android simply cannot replicate. The camera alone justifies most of the cost.",YES,2024-11-14,89
15,Apple iPhone 16 128GB Black,1,Received overheating unit from batch NOV7,"I received a unit from batch NOV7 and it overheats to an alarming degree within 20 minutes of normal usage. Even just watching YouTube causes severe heating. Apple customer service confirmed they are aware of the batch issue. Awaiting replacement.",YES,2024-11-15,267
16,Apple iPhone 16 128GB Black,5,Camera versatility is unmatched at any price point,"From macro photography to wide landscape shots to portrait bokeh — the iPhone 16 handles every photographic scenario flawlessly. The new Camera Control button is a genuinely useful addition. Photographers will love this phone.",YES,2024-11-16,73
17,Apple iPhone 16 128GB Black,2,5G destroys battery life making the phone unusable outdoors,"Living in a 5G coverage area means my battery is consistently dead by 3pm every single day. I cannot enjoy the headline 5G feature because it eats battery at an alarming rate. This is a fundamental design flaw.",YES,2024-11-17,156
18,Apple iPhone 16 128GB Black,4,Performance is flawless for gaming and productivity,"Genshin Impact and BGMI run at maximum graphics settings with absolutely no thermal throttling on my unit. The A18 chip handles everything I throw at it. Gaming performance is the best I have experienced on any smartphone.",YES,2024-11-18,61
19,Apple iPhone 16 128GB Black,5,The best iPhone ever made — period,"Every single aspect of this phone is class-leading. Camera performance battery efficiency when on WiFi display quality build quality and software smoothness. The only people unhappy are those comparing it to their previous phone. This is the best.",YES,2024-11-19,94
20,Apple iPhone 16 128GB Black,1,Overheating causes display to dim and performance to throttle,"When the phone heats up — which happens in about 15 minutes of intense use — the display automatically dims and performance noticeably throttles. This thermal throttling makes the advertised A18 performance meaningless during extended use.",YES,2024-11-20,178
21,Apple iPhone 16 128GB Black,4,iOS software is polished but has quirks,"iOS 18 feels mature and polished but some features feel half-baked. The AI writing tools are genuinely useful. The lock screen customisation is excellent. Siri improvements are real but still not as capable as Google Assistant for complex queries.",YES,2024-11-21,52
